strain_id,accession,r1,r2
WY2206,SRR10047067,,
WY2206,SRR10047068,,
WY2206,SRR10047069,,
WY2206,SRR10047070,,
WY2206_A,SRR10047071,,
WY2206_A,SRR10047072,,
WY2278,SRR10047064,,
WY2278,SRR10047060,,
WY2278,SRR10047061,,
WY2278,SRR10047062,,
WY2278,SRR10047065,,
WY2278,SRR10047066,,
WY2308,SRR10047055,,
WY2308,SRR10047056,,
WY2308,SRR10047057,,
WY2308,SRR10047058,,
WY2308,SRR10047059,,
yHAB47-Peris,SRR2586169,,
yHAB47-Peris,SRR2586170,,
yHCT145,SRR10047022,,
yHCT145,SRR10047023,,
yHCT145,SRR10047024,,
yHCT145,SRR10047025,,
yHCT145,SRR10047026,,
yHCT81-Peris,SRR2586163,,
yHCT81-Peris,SRR2586164,,
yHCT81-Peris,SRR2586165,,
yHCT81-Peris,SRR2586166,,
yHCT81-Peris,SRR2586167,,
yHCT81-Peris,SRR2586168,,
yHDD49,SRR10047017,,
yHDD49,SRR10047018,,
yHDD49,SRR10047020,,
yHDD49,SRR10047021,,
